,city,currentTeamId,officialName,wyId,shortName,firstName,middleName,lastName,birthDate,birthdate_datetime,age
4,"Bournemouth, Dorset",1659,AFC Bournemouth,8934.0,E. Howe,Eddie,,Howe,1977-11-29,1977-11-29,41
11,Liverpool,1623,Everton FC,71037.0,Marco Silva,Marco Alexandre,,Saraiva da Silva,1977-07-12,1977-07-12,42
1,Newcastle upon Tyne,1613,Newcastle United FC,531745.0,Paco,Francisco,,de Míguel Moreno,1973-02-19,1973-02-19,46
14,London,1624,Tottenham Hotspur FC,292863.0,M. Pochettino,Mauricio Roberto,,Pochettino Trossero,1972-03-02,1972-03-02,47
20,London,1609,Arsenal FC,3265.0,Unai Emery,Unai,,Emery Etxegoien,1971-11-03,1971-11-03,47
6,"Burnley, Lancashire",1646,Burnley FC,8880.0,S. Dyche,Sean,,Dyche,1971-06-28,1971-06-28,48
13,Manchester,1625,Manchester City FC,267136.0,Guardiola,Josep ,,Guardiola i Sala,1971-01-18,1971-01-18,48
10,Watford,1644,Watford FC,93112.0,Javi Gracia,Javier,,Gracia Carlos,1970-05-01,1970-05-01,49
16,"Southampton, Hampshire",1619,Southampton FC,15824.0,R. Hasenhüttl,Ralph,,Hasenhüttl,1967-08-09,1967-08-09,52
17,Liverpool,1612,Liverpool FC,14791.0,J. Klopp,Jürgen,,Klopp,1967-06-16,1967-06-16,52
